"unique_code","partner_id","date","name","ref"
13664,700,"2019-10-15","2019/03346","FV19/01171 - COMPRA/2019/0995"
13663,737,"2019-10-17","2019/03345",201903345
13662,737,"2019-10-16","2019/03344","F2019-0508 - COMPRA/2019/0994"
13661,716,"2019-10-16","2019/03343",201903343
13660,716,"2019-10-14","2019/03342","2191455 - COMPRA/2019/0993"
13659,163,"2019-10-01","STJ/2019/263","STJ2019263"
13658,163,"2019-10-01","STJ/2019/262","STJ2019262"
13657,163,"2019-10-01","STJ/2019/261","STJ2019261"
13656,163,"2019-10-01","STJ/2019/260","STJ2019260"
13655,163,"2019-10-01","STJ/2019/259","STJ2019259"
13654,163,"2019-10-01","STJ/2019/258","STJ2019258"
13653,163,"2019-10-01","STJ/2019/257","STJ2019257"
13652,163,"2019-10-01","STJ/2019/256","STJ2019256"
13651,163,"2019-10-01","2019/03341","AVENTA/2019/0036 - ACOMPRA/2019/0049"
13650,769,"2019-10-04","2019/03340","A 126 - COMPRA/2019/0992"
13649,655,"2019-10-15","2019/03339","A 2522 - COMPRA/2019/0991"
13648,132,"2019-10-15","2019/03338",201903338
13647,768,"2019-10-15","STJ/2019/255","STJ2019255"
13646,768,"2019-10-15","STJ/2019/254","ERROR DE ELLOS"
13645,768,"2019-10-15","2019/03337","O 837100335 - ACOMPRA/2019/0048"
13644,351,"2019-10-16","2019/03336"," PC1800760"
13643,132,"2019-10-15","2019/03335",201903335
13642,750,"2019-10-15","2019/03334",201903334
13641,750,"2019-10-15","2019/03333",201903333
13640,277,"2019-09-30","2019/03332","4 1902216 - COMPRA/2019/0990"
13639,,"2019-10-15","2019/03331","GASOLINA SERGIO REUS"
13638,768,"2019-09-04","2019/03330","O 837100335 - COMPRA/2019/0989"
13637,87,"2019-10-10","2019/03329","PEDIDO Nº 7719075214"
13636,356,"2019-10-11","2019/03328",201903328
13635,672,"2019-10-01","2019/03327","2019/850 - COMPRA/2019/0988"
13634,558,"2019-09-30","2019/03326","1901154 - COMPRA/2019/0987"
13633,461,"2019-07-01","2019/03325","2266 - COMPRA/2019/0986"
13632,647,"2019-09-30","2019/03324","19/00336 - COMPRA/2019/0985"
13631,647,"2019-09-30","2019/03323","19/00335 - COMPRA/2019/0984"
13630,647,"2019-09-30","2019/03322","19/00334 - COMPRA/2019/0983"
13629,,"2019-06-30","2019/03321","CRUCE IVA 2T 2019"
13628,,"2019-03-31","2019/03320",
13627,750,"2019-10-04","STJ/2019/253","STJ2019253"
13626,750,"2019-10-04","STJ/2019/252","ERROR"
13625,750,"2019-10-04","2019/03319","ERROR - AVENTA/2019/0013"
13624,379,"2019-10-10","2019/03318",201903318
13623,379,"2019-10-10","2019/03317","2019 1569 - COMPRA/2019/0982"
13622,331,"2019-10-10","2019/03316",201903316
13621,,"2019-09-25","2019/03315","TRASPASO ENTRE CUENTAS (CANCELACION POPULAR)"
13620,,"2019-09-19","2019/03314","PAGO VISA POPULAR"
13619,,"2019-09-09","2019/03313","PAGO VISA POPULAR"
13618,,"2019-08-14","2019/03312","PAGO VISA POPULAR"
13617,281,"2019-10-09","2019/03311",201903311
13616,281,"2019-10-09","STJ/2019/251","STJ2019251"
13615,281,"2019-10-09","STJ/2019/250","STJ2019250"
13614,351,"2019-09-20","2019/03037","FIJ/2019/0196"
13613,351,"2019-09-20","2019/03032","FIJ/2019/0191"
13612,125,"2019-07-30","2019/02453","000372 - COMPRA/2019/0748"
13611,705,"2019-09-27","2019/03088","8660657946 - COMPRA/2019/0920"
