"unique_code","partner_id","date","name","ref"
13610,392,"2019-09-30","2019/03310","A19-993 - COMPRA/2019/0981"
13608,,"2019-09-23","2019/03309","CANCELACION FONDOS DE INVERSION "
13607,379,"2019-10-07","2019/03308",201903308
13606,379,"2019-10-08","2019/03307","2019 1552 - COMPRA/2019/0980"
13605,764,"2019-10-08","2019/03306",201903306
13604,764,"2019-10-03","2019/03305","2019/1/1419 - COMPRA/2019/0979"
13603,,"2019-10-01","2019/03304","COMISSIO MANTENIMENT"
13602,754,"2019-09-27","2019/03303","43996 - COMPRA/2019/0978"
13601,,"2019-09-30","2019/03302","PRESTAMO BANKIA"
13600,,"2019-09-01","2019/03301","CARGO POR COBRO DE SERVICIOS"
13599,,"2019-09-16","2019/03300","CUOTA ANUAL VISA"
13598,,"2019-09-09","2019/03299","PAGO VISA BANKIA"
13597,,"2019-09-01","2019/03298","PAGO VISA BANKIA"
13595,,"2019-09-30","2019/03297","TRASPASO ENTRE CUENTAS"
13594,,"2019-09-20","2019/03296","TRASPASO ENTRE CUENTAS"
13593,,"2019-09-14","2019/03295","TRASPASO ENTRE CUENTAS"
13592,,"2019-09-04","2019/03294","TRASPASO ENTRE CUENTAS"
13591,,"2019-09-04","2019/03293","TRASPASO ENTRE CUENTAS"
13590,,"2019-09-02","2019/03292","TRASPASO ENTRE CUENTAS"
13589,,"2019-09-30","2019/03291","PRESTAMO IVA"
13588,,"2019-09-16","2019/03290","PRESTAMO ICO "
13587,172,"2019-09-23","2019/03289",201903289
13586,172,"2019-09-23","2019/03288","3870418R - COMPRA/2019/0977"
13585,428,"2019-09-20","2019/03287","of-tiana_20190612"
13584,181,"2019-09-02","2019/03286",201903286
13583,181,"2019-09-04","2019/03285",201903285
13582,171,"2019-09-30","2019/03284",201903284
13581,743,"2019-10-08","2019/03283",201903283
13580,,"2019-09-27","2019/03282","SEGURO RC ARC CORREDORIA"
13579,,"2019-09-30","2019/03281","PRESTAMO ADEUDO DE COMISIONES 8075837306"
13578,,"2019-09-30","2019/03280","PRESTAMO ADEUDO DE COMISIONES 8075531433"
13577,374,"2019-09-30","2019/03279",201903279
13576,374,"2019-09-30","2019/03278",201903278
13575,374,"2019-09-30","2019/03277",201903277
13574,,"2019-09-16","2019/03276","ASSOC. CATALANA CENTRRES ESPEC. DE TREBALL"
13573,,"2019-08-31","2019/03275","INTERESES Y/O COMISIONES"
13572,,"2019-09-05","2019/03274","PAGO VISA JD SABADELL"
13569,436,"2019-09-02","2019/03273",201903273
13568,167,"2019-09-03","2019/03272",201903272
13567,380,"2019-09-04","2019/03271",201903271
13566,115,"2019-09-05","2019/03270",201903270
13565,115,"2019-09-05","2019/03269",201903269
13564,,"2019-09-03","2019/03268","COMISIONES SERVICIOS TELEMATICOS"
13563,,"2019-09-23","2019/03267","AMORT PRESTAMO BBVA"
13562,293,"2019-09-30","2019/03266",201903266
13561,293,"2019-09-30","2019/03265","E631909039139 - COMPRA/2019/0976"
13560,293,"2019-09-30","2019/03264",201903264
13559,293,"2019-09-30","2019/03263","E631909039138 - COMPRA/2019/0975"
13558,293,"2019-09-02","2019/03262",201903262
13557,293,"2019-09-02","2019/03261",201903261
13556,,"2019-09-05","2019/03260","VIAT MARC"
13555,,"2019-10-08","2019/03259","T10"
13554,750,"2019-10-04","2019/03258","VEN/2019/0187"
13553,120,"2019-09-30","2019/03257","S19-09/0031 - COMPRA/2019/0974"
13552,120,"2019-09-30","2019/03256","S19-09/0030 - COMPRA/2019/0973"
13551,672,"2019-09-16","2019/03255","COBRO AUDILEGALIA (ERROR)"
13550,568,"2019-09-12","2019/03254",201903254
13549,,"2019-09-05","2019/03253","VIAT JD LA CAIXA"
13548,132,"2019-09-05","2019/03252",201903252
13547,310,"2019-08-02","2019/03250",201903250
13546,310,"2019-07-30","2019/03249",201903249
13545,,"2019-09-01","2019/03251","DESGLOSE VISA JD 20/07 AL 20/08"
13544,,"2019-09-01","2019/03248","PAGO VISA JD LA CAIXA"
13543,159,"2019-09-11","2019/03247","DEVOLUION TRANSFERENCIA GESIPA"
13542,,"2019-09-06","2019/03246","CTA NEGOCIO"
13541,733,"2019-09-02","2019/03245",201903245
13540,568,"2019-10-08","2019/03244","19072388 - COMPRA/2019/0972"
13539,302,"2019-09-30","2019/03243","VR19-09/149 - COMPRA/2019/0971"
13538,672,"2019-09-10","2019/03242",201903242
13537,401,"2019-09-04","2019/03241",201903241
13536,124,"2019-09-02","2019/03240",201903240
13535,534,"2019-09-02","2019/03239",201903239
13534,,"2019-09-19","2019/03238","transferencia devuelta"
13533,709,"2019-09-21","2019/03237",201903237
13532,12,"2019-09-26","2019/03236","VRB/99008880 - COMPRA/2019/0970"
13531,739,"2019-10-07","2019/03235",201903235
13530,739,"2019-10-02","2019/03234","19 910 - COMPRA/2019/0969"
13529,534,"2019-10-01","2019/03233","2019-7200193220 - COMPRA/2019/0968"
13528,133,"2019-10-07","2019/03232",201903232
13527,655,"2019-10-07","2019/03231",201903231
13526,655,"2019-10-05","2019/03230","TRANSFERENCIA DEVUELTA DE HONEST"
13525,655,"2019-10-01","2019/03229","TRNSFERENCIA HONEST (CUENTA INCORRECTA)"
13524,133,"2019-07-01","2019/03228","F000190563 - COMPRA/2019/0967"
13523,133,"2019-07-01","2019/03227","F000190562 - COMPRA/2019/0966"
13522,133,"2019-07-01","2019/03226","F000190561 - COMPRA/2019/0965"
13521,133,"2019-07-01","2019/03225","F000190560 - COMPRA/2019/0964"
13520,,"2019-09-30","2019/03224","variacio d'existencies"
13519,760,"2019-10-04","2019/03223",201903223
13518,760,"2019-09-20","2019/03222","SNR901N0139182 - COMPRA/2019/0963"
13517,,"2019-10-04","2019/03221","T10 ENLLUMENAT"
13516,132,"2019-09-30","2019/03220","EAS/2019/0000082"
13515,363,"2019-10-04","2019/03219",201903219
13514,363,"2019-10-04","2019/03218",201903218
13513,157,"2019-10-04","2019/03217","60660273 - COMPRA/2019/0962"
13512,371,"2019-09-30","2019/03216","VEN/2019/0186"
13511,379,"2019-10-01","2019/03215",201903215
13510,379,"2019-10-01","2019/03214","2019 1505 - COMPRA/2019/0961"
13509,173,"2019-09-30","2019/03213","0821A 32056 - COMPRA/2019/0960"
13508,401,"2019-08-31","2019/03212","RA000179853 - COMPRA/2019/0959"
13507,401,"2019-09-30","2019/03211","A000845923 - COMPRA/2019/0958"
13506,401,"2019-07-31","2019/03210","RA000179855 - COMPRA/2019/0957"
13505,118,"2019-10-04","2019/03209",201903209
13504,118,"2019-10-02","2019/03208","RE191003 - COMPRA/2019/0956"
13503,,"2019-10-04","2019/03207","COMPRAR AMAZON"
13502,59,"2019-09-30","2019/03206","190849 - COMPRA/2019/0955"
13501,307,"2019-09-30","2019/03205","B191371451 - COMPRA/2019/0954"
13500,391,"2019-09-30","2019/03204","904001294 - COMPRA/2019/0953"
13499,380,"2019-10-01","2019/03203","719103007444 - COMPRA/2019/0952"
13498,393,"2019-09-30","2019/03202","2019/347 - COMPRA/2019/0951"
13497,660,"2019-09-30","2019/03201","1001213I1902182 - COMPRA/2019/0950"
13496,,"2019-08-01","2019/03200","CARGO POR COBRO DE SERVICIOS"
13495,,"2019-08-01","2019/03199","PAGO VISA BANKIA"
13494,,"2019-08-30","2019/03198","PRESTAMO BANKIA"
13493,,"2019-09-01","2019/03197","AMAZON"
