index,B_M,BDT_cmb,L1_PIDe,L1_P,L1_PT,L1_ETA,L1_ProbNNk,L2_PIDe,L2_P,L2_PT,L2_ETA,L2_ProbNNk,H_PIDe,H_ProbNNk,Polarity
43,5256.971948641109,1.0471975511965976,3.7781147329424627,11355.14,2084.765271203605,2.3796259272893927,0.00014389118017022119,-1.6674580950369124,28133.52,3030.022842071958,2.918626170027306,0.0001312979526795533,-8.76426752415389,0.9856930547237148,1
54,5270.767229421604,1.0373133348459682,3.7118303471106575,37358.18,4199.6337064555255,2.8755273870266156,0.7827697880640525,-1.122392492413832,9733.62,1062.1270372309648,2.905469373749538,0.00012387179979231634,-7.259106718544328,0.9925228739006265,-1
55,5269.421794877817,1.005781534954437,2.1609357333298957,23837.17,3943.550936283219,2.485398069418274,0.00013444933148295138,3.286697992083086,23272.74,4716.908811102777,2.2788445630668974,0.00016590049964449474,-7.111205063905506,0.7851235499720651,-1
58,5261.081915708383,1.0354429922690314,-1.4943373231751114,31482.450000000008,5542.840784951904,2.4222292241393695,0.06494742220199277,1.7043597308341063,72928.48000000001,6428.7354355844245,3.1199002174174053,0.15586425436493037,-7.346675360534198,0.9985504723530012,-1
40,5265.470392732022,1.0388860383350014,2.77802963370671,26400.06000000001,1637.2821858328473,3.472512848253636,0.00011454741840487859,-0.2795878830484768,117186.43999999999,3495.2575872895077,4.205283797945238,0.3247607392178076,-7.57584062202127,0.9781934521418234,1
3,5269.1419133618565,1.0471975511965976,0.10541883193166446,20190.52,2938.833070123216,2.615008625982716,0.000574926326992511,-1.1867628865109778,28435.9,1224.0580555390582,3.8381644314654255,8.17190720264389e-05,-1.352368283937592,0.9576404236898416,-1
55,5300.601085284413,0.8792363076494253,1.1688584199208785,69924.11,5157.343337877281,3.298773321138734,0.07863735034113369,-0.9589584623930758,101728.22,3093.045419534822,4.186064553695567,0.1632828978881238,-2.5408943598191964,0.8358167061183177,1
28,5269.443521103213,1.0189377238701252,0.6112349755753113,50729.42,4775.432349590203,3.053945919891072,0.0030121658390737604,3.015067052061115,24176.84,1913.1310473182386,3.2282320321837825,0.002832396044073822,-7.019950583261097,0.8099813523140968,1
46,5226.547827961353,1.0344687970034114,2.118034969233673,23469.49,2394.1829988032155,2.973194562469886,9.00573998220387e-05,0.9312726968419343,135001.56,7863.773456891387,3.5353176072599948,0.2607789284277339,-8.339197482290135,0.9970827619757193,1
116,5245.730611937937,1.0253170525787358,2.416117813634638,62999.18999999999,7674.468164210825,2.7946392978473886,0.00282249011830053,2.851931547022236,159417.68,13797.6655314795,3.1382974171206075,0.4521833268307082,-8.383643182002357,0.9936668874281118,-1
