Span,10KCS1,10KCS2,10KCS3,12KCS1,12KCS2,12KCS3,14KCS1,14KCS2,14KCS3,16KCS2,16KCS3,16KCS4,16KCS5,18KCS2,18KCS3,18KCS4,18KCS5,20KCS2,20KCS3,20KCS4,20KCS5,22KCS2,22KCS3,22KCS4,22KCS5,24KCS2,24KCS3,24KCS4,24KCS5,26KCS2,26KCS3,26KCS4,26KCS5,28KCS2,28KCS3,28KCS4,28KCS5,30KCS3,30KCS4,30KCS5
0,-30147859,-38464510,-48860324,-44701998,-57176974,-73810276,-61335300,-80047764,-102918554,-102918554,-133066413,-199599620,-254697432,-132026832,-170491342,-256776594,-328507708,-165293435,-213114178,-320191057,-411674216,-201678783,-260934920,-391922171,-504196957,-241182874,-312913988,-470930353,-607115511,-284845291,-369051381,-557215606,-718350716,-332666033,-430386681,-650777928,-839981734,-496919887,-750577738,-970968985
1,3602250,4595975,5838130,5341268,6831854,8819303,7328716,9564596,12297337,12297337,15899588,23849382,30432805,15775372,20371347,30681236,39252107,19750269,25464183,38258383,49189349,24097813,31178098,46829254,60244532,28818003,37388874,56269635,72541869,34035055,44096513,66579524,85832930,39748969,51425229,77758921,100366147,59375023,89683612,116017304
2,232621,296792,377006,344921,441178,569520,473263,617649,794120,794120,1026741,1540111,1965246,1018719,1315512,1981289,2534767,1275405,1644390,2470595,3176480,1556154,2013375,3024073,3890385,1860968,2414445,3633700,4684505,2197867,2847602,4299477,5542797,2566852,3320865,5021405,6481302,3834236,5791460,7492000
3,56920,72622,92250,84399,107952,139356,115803,151132,194313,194313,251233,376849,480875,249270,321892,484801,620231,312078,402365,604529,777252,380775,492652,739959,951937,455360,590790,889129,1146250,537795,696779,1052038,1356265,628082,812581,1228686,1585908,938198,1417110,1833215
4,21918,27964,35522,32499,41569,53661,44592,58196,74823,74823,96741,145112,185169,95986,123950,186681,238830,120171,154937,232784,299294,146624,189704,284933,366559,175344,227493,342374,441382,207087,268306,405104,522252,241853,312898,473126,610680,361268,545682,705909
5,10638,13572,17240,15773,20175,26044,21642,28245,36315,36315,46953,70429,89870,46586,60158,90604,115914,58324,75198,112980,145260,71163,92071,138290,177906,85102,110412,166168,214221,100508,130220,196614,253471,117381,151862,229628,296388,175339,264842,342607
6,5944,7583,9633,8813,11272,14552,12092,15781,20290,20290,26234,39351,50213,26029,33612,50623,64765,32587,42015,63125,81161,39761,51443,77267,99401,47549,61690,92843,119692,56157,72758,109854,141621,65584,84850,128300,165601,97967,147975,191425
7,3651,4658,5917,5414,6924,8939,7428,9694,12464,12464,16115,24173,30845,15989,20647,31097,39784,20018,25809,38777,49856,24424,31601,47464,61061,29209,37896,57032,73525,34496,44694,67482,86996,40288,52122,78813,101727,60180,90899,117590
8,2401,3063,3891,3560,4554,5879,4885,6375,8197,8197,10598,15897,20285,10515,13579,20451,26164,13165,16973,25501,32788,16063,20782,31214,40157,19209,24922,37507,48353,22686,29393,44379,57213,26495,34278,51831,66900,39577,59779,77332
9,1662,2121,2694,2465,3153,4070,3382,4414,5675,5675,7338,11006,14045,7280,9401,14159,18115,9115,11752,17656,22701,11121,14389,21611,27803,13299,17255,25968,33478,15707,20350,30726,39611,18344,23732,35885,46318,27401,41389,53541
10,1198,1529,1942,1777,2272,2933,2438,3181,4090,4090,5288,7933,10122,5247,6776,10205,13056,6569,8470,12725,16361,8015,10370,15576,20038,9585,12436,18716,24129,11321,14667,22146,28550,13221,17105,25864,33384,19749,29830,38589
11,892,1138,1445,1322,1691,2184,1815,2368,3045,3045,3937,5905,7535,3906,5044,7596,9718,4890,6305,9472,12179,5966,7719,11594,14916,7135,9257,13932,17961,8427,10918,16484,21251,9841,12732,19252,24850,14701,22205,28725
12,682,870,1105,1011,1293,1669,1387,1810,2327,2327,3009,4513,5759,2985,3855,5806,7428,3738,4819,7240,9309,4560,5900,8862,11401,5454,7075,10648,13728,6441,8345,12599,16243,7522,9732,14715,18993,11236,16972,21955
