index,B_M,BDT_cmb,L1_PIDe,L1_P,L1_PT,L1_ETA,L1_ProbNNk,L2_PIDe,L2_P,L2_PT,L2_ETA,L2_ProbNNk,H_PIDe,H_ProbNNk,Polarity
4,5110.3380384515385,1.0277434645884542,-0.03851860556912734,124089.01999999999,14948.364178522503,2.805896669259639,0.31024208664894104,2.798024328419601,32424.990000000005,2963.0132716053186,3.0837756860349916,0.9916146993637085,-5.3275249774621445,0.9818236827850342,-1
6,5095.821574141668,1.0062618187804897,-1.3976435391378308,31629.269999999997,6546.435694874485,2.2574235939022516,0.9721242189407349,4.712316427293027,61980.880000000005,16293.81710238774,2.011444582354101,0.45939475297927856,-4.516238251741981,0.9258255958557129,-1
81,5171.911390418421,0.9909342025988049,-1.7645294287828417,17532.09,3538.265943901473,2.2832017152588895,0.9986317753791809,3.315095426060075,26798.440000000002,2883.7911771244244,2.9194773947589714,0.9974198937416077,-2.6772534876833043,0.38234734535217285,1
91,5161.202907554433,1.0168503392446258,0.26275170453739594,9492.52,1210.0441705511705,2.7489070875080293,0.9672048091888428,-1.4965388069424468,27243.0,5058.274821431295,2.3681861386082828,0.997755765914917,-7.930071881387153,0.9465742707252502,1
97,5220.866312101812,1.0027704290246737,0.0207948460008045,102733.43,7597.16429641945,3.296139724315027,0.3839021325111389,-1.854259120059968,45010.20522811222,6002.032529866945,2.7034628818461126,0.9892144799232483,-4.410851698074605,0.9976614117622375,1
115,4776.630015725008,0.9800570453916588,4.48223930828727,10050.16,1766.3309466211113,2.4240180879201914,0.7805798053741455,1.4972674258071053,149930.09,10789.468531200311,3.323448575203972,0.1865309178829193,-5.216925027653394,0.9881322979927063,-1
119,5087.1774528337655,1.0093517793075883,5.657915347032365,39574.83,7545.158017902397,2.3412206443424513,0.9188815355300903,-1.1594513678930536,10224.189999999999,1051.027864118393,2.9654826619818295,0.5826820135116577,-7.988248896205116,0.9799522757530212,-1
149,5182.8740481733275,1.0279076948998889,2.9893391938878215,14119.209999999997,3720.596945433228,2.0089692288749452,0.9984670281410217,3.517170369963768,24130.42,4429.066402617759,2.3799008309085474,0.9990413784980774,-8.911176510366458,0.9160197973251343,1
214,5042.275552485065,1.0055807044764145,4.779645143426731,52394.05,4461.406257165215,3.1546585729521905,0.9950993061065674,-1.0203354678622043,50541.32000000001,1673.9999099547413,4.100448111942224,0.9870201349258423,-7.222001956829322,0.9336357116699219,-1
218,5165.619556906545,1.0222964266144923,0.9768297808759967,36059.18,4022.0910819107835,2.883381737987739,0.9986280798912048,-1.5833052430965808,26235.58,6237.387109306745,2.115262325906089,0.997596263885498,-2.3425581291517843,0.9142335057258606,-1
224,5092.436868828548,1.0266959493867094,-1.1985388736720264,129719.61,11734.831079438818,3.0939088230273692,0.7645294070243835,-1.023597100999936,24888.870000000003,3460.062762237466,2.661414095673797,0.9984408617019653,-7.004307096874302,0.9990675449371338,-1
17,5161.97616776201,1.0272742164359931,-0.5885889612767681,165862.12,9187.127204231372,3.585732832984535,0.6975519061088562,-0.6914626248130755,138839.29999999996,5851.214721635431,3.8593707245018765,0.3784145414829254,-8.210359080011518,0.9987767934799194,1
50,5170.3195490758435,1.0149063276581523,1.0608436896299236,34126.8,7820.8143274973445,2.1530454605696745,0.9880172610282898,1.5961227965287268,24450.68,3039.2534394405675,2.774308018259504,0.9971293807029724,-8.718014271283423,0.9286175966262817,-1
71,5158.865891181369,0.9932252234767688,1.153816343079983,37313.01999999999,5968.124594534049,2.519598720363526,0.9912286400794983,3.9835983777311386,18014.599999999995,4648.2354361463285,2.0307660657513034,0.9806356430053711,-6.932371851844673,0.9708387851715088,-1
78,5109.356632569969,1.014608605074537,-1.2319967791407238,10605.730000000001,2576.6662801062494,2.092951191394942,0.997009813785553,0.798155393590471,54322.040000000015,6434.15648032435,2.822930586865813,0.436907559633255,-5.753688308087026,0.9206370711326599,-1
88,5140.012982315198,1.0074087693500162,0.23291102415735576,21813.760000000002,4400.718256513436,2.2835866737834936,0.9988635778427124,5.264543989101847,14240.459999999997,2814.7122409256012,2.3044611054907245,0.9991822838783264,-0.8479170906584668,0.9967410564422607,-1
134,5319.592677720619,0.9867581497794718,-0.6766836575548671,52993.55000000001,4193.0678236244685,3.2283159012359675,0.9626275300979614,0.7432969765937756,41643.56999999999,4528.97810964039,2.9088276682556162,0.9987465143203735,-9.503749631776094,0.9991241693496704,1
171,5182.717786541897,1.0233255395855225,0.37611810069934903,123316.31000000001,8262.826476907612,3.395008826855518,0.3300195038318634,-1.9102877601859447,19379.108827676853,2185.3485963660246,2.8723730059113444,0.998738706111908,-8.5654085669969,0.9989221692085266,1
201,5158.716375477721,1.0238238252895158,4.738726265743518,60237.65,7842.743589229949,2.727591041460885,0.9929558038711548,2.8018587389427334,37522.32,2261.2873689908183,3.5012396425796584,0.9979755282402039,-2.9584911498352398,0.998648464679718,-1
