index,B_M,BDT_cmb,L1_PIDe,L1_P,L1_PT,L1_ETA,L1_ProbNNk,L2_PIDe,L2_P,L2_PT,L2_ETA,L2_ProbNNk,H_PIDe,H_ProbNNk,Polarity
0,5159.762128925027,0.9931299994010273,-1.9474703888808094,31170.67,1208.5434417301371,3.942832876366918,0.9962987303733826,1.5095704825215508,33740.26,3267.9229786529554,3.025330824540851,0.9984584450721741,-8.885701355880602,0.9972749948501587,-1
32,5169.73295020819,1.0379992966072573,2.1063154052634045,50881.91,5516.531034778705,2.9119537397403468,0.9990484714508057,-1.158144196362322,28179.48,5713.448067976455,2.278479279790803,0.9985937476158142,-2.099192154497284,0.7999253869056702,-1
234,5149.586661314824,0.9815280710095013,0.649852405511643,20794.599999999995,1279.389443447107,3.4805098713085187,0.9960189461708069,0.8374748087801631,21729.589999999997,2824.4860309683127,2.729244757136334,0.9959042072296143,-7.948270988228688,0.7755778431892395,-1
448,5181.25407907407,1.0471975511965976,-0.037403894759699075,12920.619999999999,3956.9764404197817,1.8521732573095198,0.994400680065155,-1.805555226664695,13006.12,2281.828006173128,2.425804917388284,0.9843809604644775,-7.048629531085513,0.9280629754066467,-1
473,5532.806358907028,1.0214507103016273,0.009320642882125973,16792.460000000003,2231.311477834529,2.7070441281508852,0.9971027374267578,-0.9081517186496164,57262.508477559495,2442.0573745696074,3.8474974216887885,0.9960618019104004,-5.859381754523703,0.8982281684875488,1
593,5146.673833036285,1.0350916859775188,-1.4934525335427882,14510.35,1837.2020016438962,2.755733569543516,0.9933276772499084,0.7715563052924104,8627.26,2077.4019837415594,2.1021347623496456,0.9767056703567505,-8.854223693818339,0.9558504819869995,1
644,5532.149054961658,0.9941700184362858,0.3792790897988576,133948.61,3637.5787781697227,4.299100689776859,0.2265034168958664,-1.6125649528224786,37348.55593620408,1562.1471734428717,3.8669425158436193,0.49899086356163025,-1.207616533178797,0.3748050928115845,-1
868,5356.880413087668,1.016936247341145,-0.6105065101287992,18418.547771903093,1053.9471545397853,3.5531434598150065,0.9876812696456909,-0.5312309476735138,55747.39000000001,4507.3802938899435,3.2066233054340088,0.9964728355407715,-7.367531457416706,0.5454947352409363,-1
1132,5149.398638398754,1.040208482875723,4.879513812551033,11280.68,2614.1621374749384,2.141590711079858,0.9970074892044067,-1.4462683758767327,21764.13,3045.6389814921076,2.6547676154775885,0.997084379196167,-2.831581104153658,0.94364994764328,-1
1149,5178.150989520199,1.0471975511965976,1.7110544480770615,23453.880000000005,1833.949136866608,3.2401793939587997,0.9978774785995483,-1.371627668489963,45564.990000000005,6279.080023683386,2.670281642976044,0.9982524514198303,-2.9691731693483696,0.8888179063796997,-1
