index,B_M,L1_PIDe,L1_P,L1_PT,L1_ETA,L1_ProbNNk,L2_PIDe,L2_P,L2_PT,L2_ETA,L2_ProbNNk,H_PIDe,H_ProbNNk,Polarity
17,5063.047502955251,-0.05449611143328248,171544.82,8318.179226509748,3.7189600313319877,0.6423086216397811,-1.2023259390790122,34238.87,2825.34332556803,3.186172147673283,0.9977366473397902,-2.688703427384248,0.9955850675483445,-1
50,5163.429945471901,-0.646184976785344,106047.50999999998,7826.462000253665,3.298159371897619,0.34579956228391684,3.433949125392511,47034.62999999999,1117.2689216014674,4.433002979823316,0.992015286799382,-4.92666220031925,0.9961530324021609,1
55,5002.925601754124,-1.5706390872740799,52318.19999999999,4982.829009132428,3.0422182226305288,0.9978130746954188,2.7627460798310604,80420.27,9120.73176148189,2.8666321325088067,0.5210101994293974,-8.18123468544365,0.9988577369735991,1
65,5140.164250705512,-1.6577047003443426,65100.95999999999,5243.336761750503,3.2105026964899,0.9764757070056151,-0.4601466095023057,142099.27,17272.564242371624,2.7968393113135797,0.5776059382563062,-5.878278921818106,0.9936646166465043,1
2,5444.97878874053,-0.2752090686278654,32169.03887775033,2628.9664754771684,3.1958869711697906,0.9926514680090035,0.439865396578077,52184.411700595345,6623.435786277861,2.75326481515871,0.6305312627066566,-7.244721983081398,0.9989995461884184,1
3,5155.345354714238,2.045435924781111,72948.7,7635.0217923729215,2.947407943158485,0.9975747120933762,-0.24765092296229763,43156.63,6945.01558284258,2.5134209427247276,0.9686058698913246,-8.316216861769007,0.9980375437235751,1
11,5276.584283925716,2.41539831829946,23764.243710104707,2829.297028536818,2.817738363725869,0.9987206397967026,-0.5364046815935795,30921.76,5787.192900479433,2.3600858117280983,0.9952096144015165,-8.168676650571982,0.9898283646655611,1
20,5160.672310154443,-1.2149141895494078,155071.19,7971.279638771969,3.660525197138939,0.3229718594756665,-0.16556549893200811,165104.00999999998,9288.886712477572,3.5701118501936104,0.3884096338945069,-2.0980078625660887,0.9294196161340065,1
31,5190.581755993858,1.5016760677417924,41617.44,3653.8566621800155,3.1239506200077045,0.9992200984551319,2.8509537219631107,44594.49999999999,7334.212016930934,2.4913759536706315,0.7937846330527073,-7.315696319513017,0.9989074611638351,1
37,4944.479113654748,-1.010541237809441,177164.24,8119.941033326293,3.775375923673014,0.2165475021994165,1.270547301593699,16792.98,1587.0696771082307,3.0499783237343325,0.9150312768355128,-5.746038860968494,0.9379507124934012,-1
