index,B_M,L1_PIDe,L1_P,L1_PT,L1_ETA,L1_ProbNNk,L2_PIDe,L2_P,L2_PT,L2_ETA,L2_ProbNNk,H_PIDe,H_ProbNNk,Polarity
78,5159.37762419996,-1.7680862607251968,14635.420000000002,1940.3996568948476,2.7092740583927344,0.9983529448509216,0.7372773722208414,20604.54,2532.1223223274824,2.785803664373251,0.9986673593521118,-9.34222871454806,0.8597427606582642,-1
299,5165.304261089805,-1.1049965821131966,13738.450000000003,1759.075161126365,2.7444334486982287,0.9983438849449158,-0.989855693186183,23213.690000000002,2952.9142591983655,2.7510267101099894,0.9987229704856873,-4.370041522437671,0.8571752309799194,1
612,5317.924419628684,-1.6980464068655756,39482.46,1942.9453392136918,3.7041927004165283,0.9795809388160706,-0.2682655584685172,54188.19880186586,3304.129822523729,3.4895063948535756,0.4048244059085846,-4.617335177871609,0.9785019159317017,1
679,5066.303720393294,7.336048231426794,21238.64,2219.4928815142835,2.948949159603149,0.9990975260734558,2.7252220026593243,5874.3099999999995,1807.4663189876212,1.8472540407808793,0.9338009357452393,-8.147971089197542,0.9616512060165405,1
708,5135.321693450994,-1.681723318043027,22636.089999999997,1752.982201575279,3.249871567224091,0.9726431965827942,0.1864802681628528,44981.17,5020.990508104137,2.8826342606164466,0.9988952875137329,-6.076800471435527,0.8586246371269226,1
709,5072.210320421534,-1.6134788624465135,57125.960000000014,2477.737670837836,3.830589279037531,0.763507068157196,0.8305121969017915,9439.81,1256.6638977930675,2.7051622965904207,0.8872339129447937,-6.683105270639292,0.9978007078170776,1
734,5209.251572370257,2.1818811937065163,12821.819999999998,2128.639473741532,2.4818498225065206,0.982418954372406,4.21254632312696,32338.06817841611,4255.966452791203,2.716711825762097,0.9939244985580444,-4.6314127662517635,0.7510740756988525,1
835,5132.221270182239,2.353852911737973,25163.200000000004,2746.4228249530097,2.9052389977251587,0.9987701177597046,-1.545110724484863,87432.24000000002,2662.382487598461,4.184557986374907,0.47070083022117615,-7.217641579041277,0.9985166192054749,-1
963,5156.967897897767,-1.909328477311555,85300.91,1978.9957701198039,4.456608184833049,0.8264150619506836,-0.10457154101082777,163840.48999999996,3952.1841436197483,4.417626638055113,0.22719503939151764,-5.405017573552475,0.9708181023597717,-1
1141,5064.820755979543,-0.4520571871815111,54386.329999999994,3462.0260605296326,3.4463914616072895,0.6041356325149536,2.2868447206437406,13729.77,1184.224535776109,3.141760412435056,0.9806422591209412,-4.424208688545627,0.9953258037567139,1
105,5167.582292225494,-1.1316480443270547,30988.670000000002,2832.5543484095615,3.083494588135624,0.9911669492721558,0.7226660471787265,21936.58,3568.394436772022,2.502505087112453,0.9984123706817627,-6.097134922399636,0.6094257235527039,1
159,5154.021882266919,2.581133639519802,12400.699999999999,2541.4709726822484,2.2674870088165773,0.9985586404800415,-1.6803817397758656,27881.83,2825.1355787554176,2.9799894025693208,0.9992363452911377,-1.70405891621684,0.927479088306427,-1
519,4951.2235528368155,-1.6187332564612444,30604.360000000004,2518.713009815235,3.1888439974764036,0.9983951449394226,-1.1740545834250222,198152.27000000002,5631.802409403344,4.253551413532037,0.3102135956287384,-5.185130813566737,0.3069646954536438,-1
1070,5157.517365956805,-0.268542038366555,25994.629999999997,2369.8679048069253,3.086118552496511,0.9987934827804565,-1.5848919788852482,45305.869999999995,2033.422572660386,3.796359433921956,0.9974510669708252,-6.618029900499318,0.7848378419876099,-1
65,5174.7291420194815,-1.8145549955088869,10634.21,2749.3645025800474,2.028707724007609,0.997482419013977,1.587550773834098,23703.800000000003,3561.421647769746,2.5829308365355557,0.9997264742851257,-3.4094332767761797,0.9586122035980225,-1
228,5150.216091094074,3.078474062320402,15213.6,2181.663525766694,2.6300681226477236,0.7482488751411438,0.7038404455501984,15496.750000000004,3399.470401397926,2.19790432538714,0.9979182481765747,-3.238548263522365,0.864351749420166,-1
233,5192.303112721741,-0.9759754826569578,197306.17999999996,5028.9369345030445,4.362532850287717,0.28746065497398376,-0.30791436234748737,126116.13999999998,5291.405433267954,3.8638261410071473,0.0049373684450984,-3.436292640640924,0.33972615003585815,-1
265,5159.734796775082,-0.3749289181682296,18965.09,2052.313393042986,2.913838879889367,0.9982770681381226,-0.9374631625071954,13263.049999999997,2836.4311551928076,2.223947299115969,0.9987766146659851,-5.37825807695007,0.256364643573761,-1
495,5269.122732883652,-0.8123092360873967,106453.0,5127.295460754533,3.725691965227327,0.1098177582025528,-1.3029503832158225,165012.60179310525,5727.932788335976,4.053512961784594,0.5238891839981079,-6.052679055047588,0.9866337776184082,1
547,5270.628771043802,1.3072636647150917,27105.86999999999,2525.346632281883,3.064342081416451,0.9983270764350891,1.1942756004457862,62003.66995584196,3812.0457368273073,3.48122845315737,0.8543863892555237,-7.469666837969614,0.9986042976379395,1
631,5120.425955222605,3.7414525673581593,20785.620000000003,3634.332053349886,2.42925111118831,0.9989390969276428,-1.8009088202247134,7918.25,2201.0157692196603,1.9534969547779022,0.9898955821990967,-9.98912582518143,0.9184795022010803,-1
690,5106.633084163206,0.7743095907032129,17434.209999999995,1613.352499186938,3.0711194406235176,0.9184584021568298,-1.7315338727783591,84026.1,4947.313894361737,3.5245620713610597,0.9373014569282532,-6.409950257490453,0.6737900972366333,1
697,5271.272300862962,1.3710524735955951,21191.55,2919.352430801432,2.670609281960576,0.9987753629684448,-0.9111196784985038,20507.856566713766,3541.0533669358474,2.4419926834955,0.9983990788459778,-5.224191664798109,0.8337990045547485,1
748,5079.306991709112,0.2887069287914952,6908.200000000002,1683.8339846143074,2.089587875153376,0.8885743021965027,-0.02005344135339815,36996.53,3449.5762527660618,3.063539337219865,0.9988980293273926,-4.173492469521613,0.945428729057312,1
