unique_code,quantity,name,discount,origin,account_id,partner_id,price_subtotal,price_unit,product_id,invoice_id,uom_id,currency_id,tax_code
15367,100,[778] GUIA CENTRADORA NEGRA 830MM (NE/CBL),0.0,BCN\OUT\00949,Ventas de mercaderías en España,627,1500,15,GUIA CENTRADORA NEGRA 830MM (NE/CBL),5319,1,EUR,S_IVA21B
6600,10,[118] AMORTIGUADOR DE PORTEZUELA 110N (NE/CBL),0.0,BCN\OUT\00468,Ventas de mercaderías en España,508,86,"8,6",AMORTIGUADOR DE PORTEZUELA 110N (NE/CBL),2212,1,EUR,S_IVA21B
16436,1,CERTIFICADO DIGITAL XAEI,0.0,,Ventas de mercaderías en España,750,14,14,VARIOS - SIN DEFINIR,5745,1,EUR,S_IVA21B
16389,280,VACRIS Actuaciones PreventivesCATALUÑA - SEPTIEMBRE,0.0,,Ventas de mercaderías en España,371,4816,"17,2",VARIOS - SIN DEFINIR,5730,1,EUR,S_IVA21B
16390,6,VACRIS actuacions correctives CATALUÑA SEPTIEMBRE,0.0,,Ventas de mercaderías en España,371,"358,26","59,71",VARIOS - SIN DEFINIR,5730,1,EUR,S_IVA21B
16391,10,VACRIS actuacions correctives BALEARES SEPTIEMBRE,0.0,,Ventas de mercaderías en España,371,"597,1","59,71",VARIOS - SIN DEFINIR,5730,1,EUR,S_IVA21B
16297,140,ADHESIUS,0.0,,Ventas de mercaderías en España,360,"372,4","2,66",VARIOS - SIN DEFINIR,5699,1,EUR,S_IVA21B
16298,95,ADHESIUS AMB PLACA,0.0,,Ventas de mercaderías en España,360,380,4,VARIOS - SIN DEFINIR,5699,1,EUR,S_IVA21B
16264,1,"REPARACION Móviles, NUMEROS DE SINIESTRO: •	592340181
•	592350597
•	592306509 
•	592338267 
•	592344849 
•	592346943 
",0.0,,Ventas de mercaderías en España,534,"591,68","591,68",VARIOS - SIN DEFINIR,5691,1,EUR,S_IVA21B
16232,1,INFORMADOR MEDIOAMBIENTAL Del 01/08 al 05/2019,0.0,,Ventas de mercaderías en España,436,"224,16","224,16",VARIOS - SIN DEFINIR,5683,1,EUR,S_IVA21B
16228,36,Col.locació adhesius QR a contenidors de superficie i soterrats. AGOST,0.0,,Ventas de mercaderías en España,352,252,7,VARIOS - SIN DEFINIR,5680,1,EUR,S_IVA21B
16229,12,Col.locació adhesius QR a contenidors de superficie i soterrats. SETEMBRE,0.0,,Ventas de mercaderías en España,352,84,7,VARIOS - SIN DEFINIR,5680,1,EUR,S_IVA21B
16227,1,"FRACCIÓ PAPER: substitució tapa.
AREA 132 GAIETÀ VENTALLÓ",0.0,,Ventas de mercaderías en España,20,"102,5","102,5",VARIOS - SIN DEFINIR,5679,1,EUR,S_IVA21B
16226,50,Xipatge de papereres .,0.0,,Ventas de mercaderías en España,15,140,"2,8",VARIOS - SIN DEFINIR,5678,1,EUR,S_IVA21B
16225,8,"Avinguda Can Cases: substitució 4 cables
Carrer Mur: substitució 2 corrioles + 7 cables
Passeig Catalunya: substitució 5 cables
Plaça 11 de Setembre: substitució 5 cables i 6 corrioles
Rambla Bobiles_Pl.del Blat: substitució 8 cables i 5 corrioles
Rambla Bobiles_Envasos: substitució 8 cables i 2 corrioles
Rambla Bobiles_Rebuig: substitució 6 cables i 2 corrioles
Sant Antoni MªClaret: contenidor ple d'aigua, no s'oberven cables dectuosos.",0.0,,Ventas de mercaderías en España,377,2000,250,VARIOS - SIN DEFINIR,5677,1,EUR,S_IVA21B
16224,1,"FRACCIÓ ENVASOS: substitució tapa

AREA 132 GAIETÀ VENTALLÓ",0.0,,Ventas de mercaderías en España,349,"102,5","102,5",VARIOS - SIN DEFINIR,5676,1,EUR,S_IVA21B
