unique_code,quantity,name,discount,origin,account_id,partner_id,price_subtotal,price_unit,product_id,invoice_id,uom_id,currency_id,tax_code
16389,280,VACRIS Actuaciones PreventivesCATALUÑA - SEPTIEMBRE,0.0,,Ventas de mercaderías en España,371,4816.0,17.2,VARIOS - SIN DEFINIR,5730,1,EUR,S_IVA21B
16390,6,VACRIS actuacions correctives CATALUÑA SEPTIEMBRE,0.0,,Ventas de mercaderías en España,371,358.26,59.71,VARIOS - SIN DEFINIR,5730,1,EUR,S_IVA21B
16391,10,VACRIS actuacions correctives BALEARES SEPTIEMBRE,0.0,,Ventas de mercaderías en España,371,597.1,59.71,VARIOS - SIN DEFINIR,5730,1,EUR,S_IVA21B
