index,B_M,BDT_cmb,L1_PIDe,L1_P,L1_PT,L1_ETA,L1_ProbNNk,L2_PIDe,L2_P,L2_PT,L2_ETA,L2_ProbNNk,H_PIDe,H_ProbNNk,Polarity
2,5269.37168490505,0.9684721434773341,1.5162908260823116,19270.08,2192.9920930808985,2.863180333404063,0.0010255269672923579,1.4557690208995755,27849.24,5100.398355162269,2.382141374952632,0.007791769839415561,-7.615118207088948,0.9989784233590144,1
8,5274.195000462854,0.892727816395888,7.891689113438601,20743.289999999997,4249.409686858402,2.2679292507158513,8.026546720651527e-05,-1.4293637367410623,22543.21,1190.781700422771,3.6332728330394914,8.239193471433045e-05,-1.7936341689275852,0.8479978475212017,1
10,5288.419037599644,0.9375747098647599,0.2137786055802422,22282.63,1871.93174174918,3.1682146695560647,0.00012253491156721997,1.433978664871303,14693.420000000002,2763.1774344006767,2.355204872852616,0.0001511749466207297,-10.343896788535377,0.3195734484652595,-1
17,5284.435276691045,0.9736261111124458,4.280594699176716,31279.2,6407.645250430193,2.267948404198985,0.07032987009710719,-1.1220012012335807,30785.77,2342.0240963338706,3.2677341994400857,0.00010849436828999606,-8.809815178562227,0.9297740063381426,-1
6,5236.587606369071,0.9819619904444964,1.568926966663172,87246.15,6145.064755127095,3.344988795412005,0.016852637857520888,-1.024536775926526,36095.99,1687.239452947725,3.755688547725214,0.00026703935133173996,-3.4883897628029095,0.9677269431740501,-1
1,5266.947688046459,1.015508922253656,6.6326208560577875,33906.38999999999,6559.304833086979,2.326375893665725,0.020423693802651785,-1.0203008181654543,46419.76,7356.8542355735935,2.528900592370305,0.09295247382794079,-6.4571490412831425,0.9985350815603685,1
5,5268.837883211194,0.9162398405660843,-1.7488343390165042,23462.12,4522.461140296423,2.330057176639764,0.0004297587134198551,-1.0808710108615358,10233.380000000001,1072.0357726628358,2.9464877170286417,0.0023843691893064524,-7.747572885518718,0.9951764580050705,1
7,5277.17979477305,0.9465056444760739,0.7484545317925599,53565.27,6323.683517468876,2.826243579831438,0.010875643325793128,1.052232190647426,21400.78,2618.7824471155845,2.7901003425398065,0.013070191333244347,-7.466061755884093,0.48072393702070526,1
