index,B_M,L1_PIDe,L1_P,L1_PT,L1_ETA,L1_ProbNNk,L2_PIDe,L2_P,L2_PT,L2_ETA,L2_ProbNNk,H_PIDe,H_ProbNNk,Polarity
28,5169.491026874259,2.570179325342798,13057.45,1632.235897983962,2.768625637623178,0.9985639452934265,-0.009855730680955688,25254.929999999997,2831.6173401195547,2.8781627975549746,0.9993770718574524,-8.01193992078607,0.9456669688224792,1
308,5158.482239604539,1.1493174993621067,46557.81,4966.520484047992,2.9282653885317833,0.9984015226364136,0.20132478782727037,31182.060000000005,2384.05110682456,3.2627243352325643,0.9981184005737305,-8.637984019600848,0.998776376247406,1
331,5126.077148892959,-0.06989475890488617,21030.19,3084.3610670552507,2.607340230962111,0.9983850717544556,-1.5610140494771803,8948.370000000003,1861.6194756511998,2.2521716510386045,0.9560505151748657,-5.98231754053062,0.9362035393714905,1
429,5181.528976830215,-1.8514367494805115,31121.9,2688.7348093397277,3.140116969541226,0.9463309645652771,0.12304887400785347,21721.63,4452.720685541017,2.2672656621365275,0.9986213445663452,-7.639684300018404,0.9985950589179993,1
505,5129.152036449331,0.5708152066490308,21195.88,2591.0749446835257,2.7911241508546096,0.972387969493866,-0.8783623714160722,64462.29000000001,2104.6281561443716,4.1148221830091725,0.9781245589256287,-5.638561136468663,0.8542049527168274,1
15,5434.280976269003,-0.09797021499376923,25695.75430220448,3153.6544443122657,2.7871238867236148,0.9962443709373474,6.471863300330545,21905.936076072234,4398.118538880259,2.2884947127765725,0.9984565377235413,-5.674850996890762,0.9794835448265076,1
49,5164.207110172734,2.4248932587720535,8388.31,1019.3961130656527,2.7970630971399495,0.9156314134597778,0.41658160709133574,27434.379999999997,4007.6081503720766,2.6113715305578458,0.9995976686477661,-5.17679903406189,0.7368907928466797,1
140,5179.337938592768,0.17019236905599322,10379.15,3081.1864027716883,1.8848335682336335,0.5715066194534302,-1.009422256766256,14883.22,1158.8071217610802,3.244471450856381,0.9803608655929565,-6.38081163987293,0.9259195923805237,1
289,5140.214729899032,-1.417848212838333,47194.76,3538.837020133825,3.2822232909795686,0.9970585703849792,-0.7573476028153312,19878.850000000002,2152.915339636256,2.9130353347676685,0.9946921467781067,-3.819807817815848,0.9978307485580444,1
74,5123.663360755123,-1.437549738596853,89963.15,1918.77280672934,4.5407477591807295,0.9429055452346802,-1.517130071299813,219921.08999999994,6756.437133619799,4.175684235500547,0.1744195520877838,-2.6880670014933825,0.674106776714325,1
83,5217.842723962189,0.16298340269533662,102587.55081409807,5368.9626899422565,3.6425435931128822,0.07038696110248566,0.4849618473518469,48446.12000000001,4832.898908074082,2.995655695335837,0.9949182868003845,-5.657217434300329,0.9746443033218384,1
219,5120.9460494887435,-1.8953392576633927,71825.99,3392.998652042803,3.745121128571501,0.8622868657112122,-1.801888234580284,21069.68,1243.663277938145,3.522048776524545,0.9728061556816101,-9.728171132784091,0.82609623670578,1
406,5147.052595727561,-1.1118730973905233,30310.120000000003,5251.069033547041,2.4386078250658976,0.9888923168182373,3.1093547035234903,13080.909999999998,1555.6241461542118,2.818869666453689,0.9982072114944458,-8.519689140345983,0.7622184157371521,1
497,5269.977613387524,3.1291069405202716,23255.949999999997,2845.367748544228,2.790252302035694,0.9990282654762268,0.48902089954486083,17019.798959934462,1978.6001799340108,2.8417389424155113,0.9668037295341492,-7.037794225099461,0.9917387962341309,1
498,4946.545581223899,5.498476991480597,32222.629999999997,2763.383467118126,3.1475166112439035,0.9981043934822083,7.630533084963253,18951.6,3246.2219625003145,2.4501265708972104,0.8500543236732483,-7.8204740591487205,0.9386782646179199,1
289,5241.929781693248,2.8824024090891047,7263.269390728867,1357.8719751725926,2.3612040680898136,0.8606695532798767,-1.7138354697644274,50515.74,14087.656670323215,1.9500972419027383,0.7463010549545288,-8.093833252913461,0.996619701385498,1
466,5163.9979158066435,0.4627400895233542,23045.610000000004,4706.588943538091,2.2710646620975194,0.8145636916160583,0.7321688840076797,22583.02,2355.590653324998,2.9508227652490167,0.9949601292610168,-1.7900505668131363,0.21516336500644684,1
50,5128.635409944873,2.1366503816311404,23910.9,1114.153275779369,3.758843639733258,0.9969289302825928,2.4382700150618515,94435.72,3896.190578724012,3.8806414517213317,0.230770543217659,-8.910468023327002,0.9069327116012573,1
4,4990.087126759029,0.5181598981161888,5073.13,684.4075482131925,2.691725435246151,0.9110461473464966,0.7177197190756095,34294.07,7486.5478358454875,2.2028788954514233,0.9713338613510132,-3.991752423986279,0.9920626878738403,1
60,5394.800320415589,1.9559545289806017,11061.794964193998,2139.108180907821,2.3267727949406742,0.9620373845100403,-1.355872804867373,28518.170000000006,1590.417548438238,3.5789135759664243,0.9985643029212952,-6.2055805842940455,0.9530272483825684,1
163,5152.697031966451,2.4655333281818597,12315.95,3553.864999233283,1.9145083875172766,0.9963201284408569,-1.0733246129766931,28163.32,7677.943514831969,1.9736948114143595,0.922285258769989,-8.809330190273187,0.348560631275177,1
249,5130.77690208449,3.571567470879888,13390.110000000002,2917.6567669584597,2.2047959386634153,0.9976035356521606,-0.580516737599913,33058.2,1998.2626843300245,3.49822397147791,0.9923868179321289,-7.707757243398989,0.9376116991043091,1
318,5167.32474535464,2.735651774922684,20480.92,2996.717441281961,2.6097277064989424,0.9923302531242371,0.11109476716463984,63593.23999999998,5972.050790540121,3.056351864889571,0.9957460761070251,-9.120104876038479,0.9479097723960876,1
398,5054.463143589317,-1.9129240766679816,12117.23,1743.3880374625867,2.6267294459376482,0.9993006587028503,-1.220798263819802,91008.67,3022.627076675033,4.097699729098525,0.41904357075691223,-5.167195388055379,0.8777425289154053,1
524,5177.408056974374,1.5078449398186593,44055.799999999996,4558.195257675472,2.95899041017502,0.9982665777206421,2.0309995073022615,30684.38,3302.3346726250134,2.919362897814968,0.1531580537557602,-7.625420639768434,0.9993888139724731,1
130,5130.487953811982,2.7294841380383335,28093.98,2749.170955041934,3.0150005007333767,0.9976134300231934,5.733946509611808,17465.45,1933.570133797232,2.890925458894927,0.9993631839752197,-3.808573942371166,0.998539388179779,1
226,5250.329805756383,-1.759425365783133,36976.525551277475,5012.695212488127,2.6868303031213547,0.9844277501106262,0.08552656603945596,26815.65,1939.9879225757895,3.318140066807613,0.9989070892333984,-5.876954935925898,0.9984157085418701,1
260,5171.865968482945,-1.8172095247342739,38627.31,3439.0245785120037,3.109931299306222,0.9986004829406738,5.994112579481634,38627.46,3764.6437443017426,3.0190742387272804,0.9962456226348877,-8.606299537054138,0.9018089175224304,1
71,5436.575232832899,-1.2728255576477636,25172.819318115802,1731.8118554067503,3.368558459834493,0.9728206396102905,-1.4923116743607974,15808.84,2773.397192356829,2.4258589028409574,0.9977930188179016,-8.578209272531488,0.8610031008720398,1
125,5172.636886493418,-0.2091919307050083,67423.20999999999,5383.943166349329,3.2191175155823593,0.7621719837188721,-1.6461257426193208,62787.130000000005,2709.1773783424746,3.835786482405544,0.8622626662254333,-6.606272727440561,0.6721974611282349,1
180,5112.819361149745,3.5122055615583063,23024.559999999998,3299.677160217389,2.63070949250477,0.9993644952774048,0.34461551300742155,7154.56,1511.1429135574278,2.236686659000947,0.9093419313430786,-7.1749525142063355,0.9751402735710144,1
282,5133.068414621185,4.074174032784324,10746.08,1905.2986442285162,2.4150961787028593,0.9968101382255554,-1.5015301178281097,30285.380000000005,1991.5498602666994,3.413816274964373,0.9913368821144104,-6.695578358328426,0.9925613403320312,1
39,4988.843344055386,4.838021329082047,11639.1,1559.0315124640085,2.6989365117617674,0.8512769937515259,-1.300416286451214,89651.78999999998,2577.4946079219812,4.242055796410618,0.619940996170044,-5.825511260939664,0.7906968593597412,1
69,5165.337952900013,2.275204668779977,64860.30999999999,2729.628228325376,3.860774565764531,0.2739742696285248,-1.4106390995965898,26635.700000000004,2243.1150088965915,3.1657563138803715,0.9951866865158081,-0.40917871046649745,0.8239992260932922,1
175,5159.113952121284,2.0514311598963513,12469.91,2657.297305406257,2.2276052627818994,0.9983692169189453,4.051315933543249,16631.42,1630.185311278374,3.0133365594549013,0.9266714453697205,-4.448709145854121,0.9378343224525452,1
293,5108.0356017386575,-1.158053068990899,40807.64,6235.0860136736155,2.565935999051884,0.9953778982162476,0.35551790719791754,10775.860000000002,1548.5715359122473,2.6279193032451067,0.9901888370513916,-4.524982142345295,0.9917508363723755,1
361,5080.624443678767,5.918161192988894,55732.87999999999,5756.656030917033,2.9606827554971664,0.8273313641548157,-1.9421798331537241,15013.770000000002,859.57849760616,3.5526076131697275,0.2833302915096283,-9.43711943872367,0.3062669634819031,1
403,4953.290156357475,-1.5536183743894179,5927.039999999999,1553.4539556657892,2.014557630323763,0.937160849571228,-1.1910603912120146,62856.66,4474.353356321829,3.3343730522316912,0.95331871509552,-6.954540391340552,0.4710002541542053,1
485,5143.374428523978,1.5676170309498358,11558.539999999999,938.2678622764778,3.202640098872105,0.8580350279808044,-0.7921817855562621,33182.74,4590.855702221343,2.6662906601752563,0.9935076832771301,-7.321760977451868,0.772758960723877,1
3,5138.1270755599835,-1.8265776250780723,44257.100000000006,3101.990027392196,3.349888712652042,0.9973816871643066,-1.2420937339078977,28091.930000000004,1245.8699551659497,3.8083033938977517,0.9789252281188965,-8.744880005704989,0.9885473251342773,1
50,5100.839922573535,0.9152666315770008,79832.32000000002,3181.417856121743,3.9153513842048295,0.8426632881164551,0.8149975206326108,19892.26,1535.4007085115425,3.253193745159828,0.945323646068573,-0.14145861728696874,0.8316494226455688,1
294,5135.105283804587,-1.8149502772883945,21984.15,2497.350407127183,2.864996749114245,0.9992064833641052,-0.9147444873079356,23370.969999999998,5555.852932912048,2.115352466995606,0.9987195730209351,-5.190137104585702,0.9981467723846436,1
373,5137.873683287715,3.8696632707915537,11726.18,2542.300917553177,2.209937707244418,0.9976415634155273,-1.1925619545772665,18926.170000000002,1383.321330645624,3.3078671969137483,0.9947114586830139,-6.8842131509168105,0.9950551986694336,1
433,5155.940333628209,0.624118621049608,39685.26999999999,5182.250298286334,2.7245973357613376,0.9989026188850403,-1.9372039379071135,23387.99,3423.566781878536,2.609286454301476,0.9806371927261353,-6.78168817253592,0.860939085483551,1
442,5783.51053903892,4.572626184833878,61033.70641727489,4774.075764409354,3.2398399323908227,0.9937679767608643,3.3958755546222688,25476.730000000007,3020.5269456693445,2.821948563921768,0.9969068169593811,-0.04532971464581648,0.9984754323959351,1
